two_card_rank,two_card_ordered_rank,five_card_rank,five_card_ordered_rank
1,1,9,1
1,2,9,221
1,3,9,441
1,4,9,661
1,5,9,881
1,6,9,1101
1,7,9,1321
1,8,9,1541
1,9,9,1761
1,10,9,1981
1,11,9,2201
1,12,9,2421
1,13,9,2641
2,1,10,1
2,2,10,165
2,3,10,285
2,4,10,369
2,5,10,425
2,6,10,460
2,7,10,480
2,8,10,490
2,9,10,493.1
2,10,10,493.2
2,11,10,493.3
2,12,10,493.4
2,13,10,494
2,14,10,613
2,15,10,697
2,16,10,753
2,17,10,788
2,18,10,808
2,19,10,818
2,20,10,822
2,21,10,822.1
2,22,10,822.2
2,23,10,822.3
2,24,10,823
2,25,10,906
2,26,10,962
2,27,10,997
2,28,10,1017
2,29,10,1027
2,30,10,1031
2,31,10.1031.1
2,32,10,1031.2
2,33,10,1031.3
2,34,10,1032
2,35,10,1087
2,36,10,1122
2,37,10,1142
2,38,10,1152
2,39,10,1156
2,40,10,1156.1
2,41,10,1156.2
2,42,10,1156.3
2,43,10,1157
2,44,10,1191
2,45,10,1211
2,46,10,1221
2,47,10,1225
2,48,10,1225.1
2,49,10,1225.2
2,50,10,1225.3
2,51,10,1226
2,52,10,1245
2,53,10,1255
2,54,10,1259
2,55,10,1259.1
2,56,10,1259.2
2,57,10,1260
2,58,10,1260
2,59,10,1269
2,60,10,1273
2,61,10,1273.1
2,62,10,1273.2
2,63,10,1273.3
2,64,10,1274
2,65,10,1277
2,66,10,1278
2,67,10,1279
2,68,10,1280
2,69,10,1281
2,70,10,1282
2,71,10,1283
2,72,10,1284
2,73,10,1285
2,74,10,1286
2,75,10,1287
2,76,10,1288
2,77,10,1289
2,78,10,1290